Crop,Market,Price,Unit,Date
Rice,Hyderabad,2400,Quintal,2026-08-01
Rice,Vijayawada,2350,Quintal,2026-08-01
Rice,Kurnool,2450,Quintal,2026-08-01
Maize,Hyderabad,2100,Quintal,2026-08-01
Maize,Guntur,2150,Quintal,2026-08-01
Wheat,Delhi,2500,Quintal,2026-08-01
Wheat,Mumbai,2600,Quintal,2026-08-01
Cotton,Guntur,7200,Quintal,2026-08-01
Cotton,Warangal,7100,Quintal,2026-08-01
Groundnut,Kurnool,6800,Quintal,2026-08-01
Groundnut,Anantapur,6700,Quintal,2026-08-01
Potato,Bengaluru,1800,Quintal,2026-08-01
Potato,Hyderabad,1900,Quintal,2026-08-01
Tomato,Madanapalle,2200,Quintal,2026-08-01
Tomato,Bengaluru,2300,Quintal,2026-08-01
Sugarcane,Nellore,3200,Ton,2026-08-01
Sugarcane,Guntur,3100,Ton,2026-08-01
Onion,Kurnool,2800,Quintal,2026-08-01
Chilli,Guntur,8500,Quintal,2026-08-01
Turmeric,Nizamabad,9000,Quintal,2026-08-01
