Nitrogen,Phosphorus,Potassium,pH,Moisture,OrganicCarbon,SoilHealth
90,42,43,6.5,60,0.85,Excellent
85,40,45,6.7,58,0.80,Excellent
80,38,42,6.8,62,0.78,Good
75,35,40,6.9,55,0.75,Good
70,32,38,7.0,50,0.70,Average
65,30,35,7.2,48,0.68,Average
60,28,30,7.4,45,0.65,Average
55,25,28,7.6,42,0.60,Poor
50,22,25,7.8,40,0.58,Poor
45,20,22,8.0,35,0.55,Poor
95,45,48,6.4,65,0.90,Excellent
88,41,44,6.6,61,0.82,Excellent
78,36,39,6.9,54,0.73,Good
68,31,34,7.1,47,0.69,Average
58,26,29,7.5,43,0.63,Poor
72,34,37,6.8,56,0.74,Good
82,39,41,6.6,59,0.79,Excellent
62,29,32,7.3,46,0.66,Average
52,24,26,7.7,41,0.59,Poor
92,44,46,6.5,63,0.87,Excellent
